账户,昨日余额,当前余额,可用数,可取数,冻结数,账户资产,股票市值,基金市值,回购市值,参考市值,参考盈亏,成交申报比,撤单申报比,拒单申报比
全部账户,1657577.22,710245.86,710245.86,710245.86,0,42761255.551,25175278.45,16875731.241,0,42051009.691,43196.265,0,0,0
101800000076 (集中交易) ,1657577.22,710245.86,710245.86,710245.86,0,42761255.551,25175278.45,16875731.241,0,42051009.691,43196.265,0.74,0.28,0
