账户,昨日余额,当前余额,可用数,可取数,冻结数,账户资产,股票市值,基金市值,回购市值,参考市值,参考盈亏,成交申报比,撤单申报比,拒单申报比
全部账户,751665.75,163517.06,163517.06,163517.06,0,43296654.36,27791370.25,15341767.05,0,43133137.3,506721.296,0,0,0
101800000076 (集中交易) ,751665.75,163517.06,163517.06,163517.06,0,43296654.36,27791370.25,15341767.05,0,43133137.3,506721.296,0.78,0.24,0
