账户,昨日余额,当前余额,可用数,可取数,冻结数,账户资产,股票市值,基金市值,回购市值,参考市值,参考盈亏,成交申报比,撤单申报比,拒单申报比
全部账户,138830.89,138830.89,138456.29,138456.29,0,43353732.265,26331934.2,16882967.175,0,43214901.375,643471.928,0,0,0
101800000076 (集中交易) ,138830.89,138830.89,138456.29,138456.29,0,43353732.265,26331934.2,16882967.175,0,43214901.375,643471.928,0,0,0
