账户,昨日余额,当前余额,可用数,可取数,冻结数,账户资产,股票市值,基金市值,回购市值,参考市值,参考盈亏,成交申报比,撤单申报比,拒单申报比
全部账户,711181.76,138643.08,138643.08,138643.08,0,43222064.99,26206122.71,16877299.2,0,43083421.91,511909.823,0,0,0
101800000076 (集中交易) ,711181.76,138643.08,138643.08,138643.08,0,43222064.99,26206122.71,16877299.2,0,43083421.91,511909.823,0.78,0.24,0
