账户,昨日余额,当前余额,可用数,可取数,冻结数,账户资产,股票市值,基金市值,回购市值,参考市值,参考盈亏,成交申报比,撤单申报比,拒单申报比
全部账户,4032.73,4032.73,4032.73,4032.73,0,44008150.604,17847264.19,26156853.684,0,44004117.874,440334.634,0,0,0
101800000076 (集中交易) ,4032.73,4032.73,4032.73,4032.73,0,44008150.604,17847264.19,26156853.684,0,44004117.874,440334.634,0,0,0
