账户,昨日余额,当前余额,可用数,可取数,冻结数,账户资产,股票市值,基金市值,回购市值,参考市值,参考盈亏,成交申报比,撤单申报比,拒单申报比
全部账户,266728.22,362665.22,362665.22,266728.22,0,11936936.434,3271508.99,8302762.224,0,11574271.214,-84365.126,0,0,0
101800000076 (集中交易) ,266728.22,362665.22,362665.22,266728.22,0,11936936.434,3271508.99,8302762.224,0,11574271.214,-84365.126,0.19,0.36,0
